"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-11-04T16:08:00.000Z","159.79","159.81","159.79","159.81","0.01","0.01","0"
"2024-11-04T16:09:00.000Z","159.81","159.81","159.79","159.79","-0.01","-0.01","0"
"2024-11-04T16:10:00.000Z","159.79","159.87","159.79","159.87","0.05","0.05","0"
"2024-11-04T16:11:00.000Z","159.90","159.91","159.90","159.90","0.02","0.02","0"
"2024-11-04T16:12:00.000Z","159.89","159.90","159.88","159.88","-0.01","-0.01","0"
"2024-11-04T16:13:00.000Z","159.88","159.88","159.85","159.85","-0.02","-0.02","0"
"2024-11-04T16:14:00.000Z","159.83","159.84","159.80","159.80","-0.03","-0.02","0"
"2024-11-04T16:15:00.000Z","159.80","159.80","159.73","159.74","-0.04","-0.04","0"
"2024-11-04T16:16:00.000Z","159.74","159.74","159.70","159.70","-0.03","-0.03","0"
"2024-11-04T16:17:00.000Z","159.69","159.69","159.66","159.66","-0.02","-0.02","0"
"2024-11-04T16:18:00.000Z","159.66","159.68","159.65","159.65","-0.01","-0.01","0"
"2024-11-04T16:19:00.000Z","159.63","159.63","159.60","159.62","-0.02","-0.02","0"
"2024-11-04T16:20:00.000Z","159.61","159.62","159.61","159.61","0","0","0"
"2024-11-04T16:21:00.000Z","159.60","159.60","159.52","159.52","-0.06","-0.05","0"
"2024-11-04T16:22:00.000Z","159.53","159.54","159.52","159.54","0.01","0.01","0"
"2024-11-04T16:23:00.000Z","159.55","159.55","159.53","159.53","-0.01","-0.01","0"
"2024-11-04T16:24:00.000Z","159.53","159.54","159.53","159.54","0.01","0.01","0"
"2024-11-04T16:25:00.000Z","159.54","159.55","159.54","159.55","0","0","0"
"2024-11-04T16:26:00.000Z","159.55","159.55","159.52","159.52","-0.02","-0.02","0"
"2024-11-04T16:27:00.000Z","159.51","159.51","159.46","159.46","-0.03","-0.03","0"
"2024-11-04T16:28:00.000Z","159.46","159.49","159.46","159.49","0.02","0.02","0"
"2024-11-04T16:29:00.000Z","159.49","159.49","159.43","159.43","-0.04","-0.04","0"
"2024-11-04T16:30:00.000Z","159.43","159.43","159.33","159.33","-0.06","-0.06","0"
"2024-11-04T16:31:00.000Z","159.33","159.33","159.32","159.32","-0.01","-0.01","0"
"2024-11-04T16:32:00.000Z","159.32","159.32","159.28","159.28","-0.02","-0.02","0"
"2024-11-04T16:33:00.000Z","159.27","159.27","159.26","159.26","-0.02","-0.01","0"
"2024-11-04T16:34:00.000Z","159.27","159.27","159.24","159.24","-0.01","-0.01","0"
"2024-11-04T16:35:00.000Z","159.21","159.21","159.19","159.20","-0.03","-0.03","0"
"2024-11-04T16:36:00.000Z","159.19","159.20","159.17","159.20","0","0","0"
"2024-11-04T16:37:00.000Z","159.20","159.20","159.08","159.09","-0.07","-0.07","0"
"2024-11-04T16:38:00.000Z","159.09","159.09","159.08","159.08","-0.01","0","0"
"2024-11-04T16:39:00.000Z","159.06","159.06","158.99","159.00","-0.05","-0.05","0"
"2024-11-04T16:40:00.000Z","158.99","158.99","158.97","158.98","-0.01","-0.01","0"
"2024-11-04T16:41:00.000Z","158.98","159.01","158.98","159.01","0.02","0.02","0"
"2024-11-04T16:42:00.000Z","159.01","159.01","159.00","159.00","-0.01","-0.01","0"
"2024-11-04T16:43:00.000Z","159.00","159.00","158.87","158.87","-0.08","-0.08","0"
"2024-11-04T16:44:00.000Z","158.86","158.87","158.81","158.82","-0.03","-0.03","0"
"2024-11-04T16:45:00.000Z","158.83","158.84","158.82","158.84","0.01","0.01","0"
"2024-11-04T16:46:00.000Z","158.83","158.83","158.73","158.73","-0.07","-0.07","0"
"2024-11-04T16:47:00.000Z","158.70","158.70","158.66","158.66","-0.05","-0.05","0"
"2024-11-04T16:48:00.000Z","158.65","158.65","158.60","158.60","-0.04","-0.04","0"
"2024-11-04T16:49:00.000Z","158.58","158.58","158.51","158.51","-0.05","-0.05","0"
"2024-11-04T16:50:00.000Z","158.50","158.51","158.49","158.51","0","0","0"
"2024-11-04T16:51:00.000Z","158.50","158.50","158.48","158.49","-0.02","-0.01","0"
"2024-11-04T16:52:00.000Z","158.49","158.49","158.45","158.46","-0.02","-0.02","0"
"2024-11-04T16:53:00.000Z","158.46","158.47","158.46","158.47","0.01","0.01","0"
"2024-11-04T16:54:00.000Z","158.46","158.46","158.40","158.40","-0.04","-0.04","0"
"2024-11-04T16:55:00.000Z","158.38","158.38","158.30","158.31","-0.06","-0.06","0"
"2024-11-04T16:56:00.000Z","158.31","158.31","158.31","158.31","0","0","0"
"2024-11-04T16:57:00.000Z","158.31","158.41","158.31","158.40","0.06","0.06","0"
"2024-11-04T16:58:00.000Z","158.40","158.44","158.40","158.44","0.02","0.02","0"
"2024-11-04T16:59:00.000Z","158.46","158.54","158.46","158.54","0.06","0.07","0"
"2024-11-04T17:00:00.000Z","158.53","158.64","158.53","158.64","0.06","0.06","0"
"2024-11-04T17:01:00.000Z","158.64","158.64","158.61","158.62","-0.01","-0.01","0"
"2024-11-04T17:02:00.000Z","158.61","158.63","158.61","158.63","0.01","0.01","0"
"2024-11-04T17:03:00.000Z","158.63","158.63","158.62","158.62","0","0","0"
"2024-11-04T17:04:00.000Z","158.62","158.62","158.62","158.62","0","0","0"
"2024-11-04T17:05:00.000Z","158.61","158.62","158.60","158.60","-0.01","-0.01","0"
"2024-11-04T17:06:00.000Z","158.60","158.60","158.56","158.59","-0.01","-0.01","0"
"2024-11-04T17:07:00.000Z","158.61","158.63","158.61","158.62","0.02","0.02","0"
"2024-11-04T17:08:00.000Z","158.62","158.62","158.60","158.60","-0.01","-0.01","0"
"2024-11-04T17:09:00.000Z","158.59","158.59","158.53","158.54","-0.04","-0.04","0"
"2024-11-04T17:10:00.000Z","158.54","158.56","158.54","158.54","0","0","0"
"2024-11-04T17:11:00.000Z","158.53","158.53","158.46","158.49","-0.04","-0.04","0"
"2024-11-04T17:12:00.000Z","158.49","158.53","158.49","158.53","0.03","0.03","0"
